epoch,loss,mae,mse
0,28908.263145465993,151.01031,28908.26
1,28834.176066593198,150.76329,28834.174
2,28759.04565983155,150.51747,28759.045
3,28685.0880332966,150.27013,28685.088
4,28610.71439113665,150.02318,28610.715
5,28537.099643812973,149.77567,28537.098
6,28462.45610634446,149.52892,28462.455
7,28388.58446650661,149.28252,28388.586
8,28314.462413413097,149.03474,28314.46
9,28240.607692459067,148.78452,28240.605
